file_name,space,vibe,lighting,camera_angle
Acer_laptops_and_computers_19_hunyuandit.png,Minimalist studio,Bold futuristic,Crisp product lighting,Hero product angle
Acer_laptops_and_computers_30_hunyuandit.png,Tech showroom,Bold futuristic,Crisp product lighting,Close-up detail shot
Acer_laptops_and_computers_38_hunyuandit.png,Tech showroom,Sleek minimalist,Clean studio setup,Close-up detail shot
Acer_laptops_and_computers_39_hunyuandit.png,Modern home office,Clean editorial,Crisp product lighting,Hero product angle
Acer_laptops_and_computers_40_hunyuandit.png,Minimalist studio,Clean editorial,Crisp product lighting,Three-quarter view
adani_001_hunyuandit.png,Corporate office,Approachable business,Warm inviting glow,Client interaction view
adani_002_hunyuandit.png,Professional workspace,Vibrant contemporary,Ambient environmental light,Lifestyle wide angle
Air_India_410_hunyuandit.png,Historic cityscape,Peaceful natural,Natural sunlight,Dynamic action angle
Air_India_420_hunyuandit.png,Historic cityscape,Adventurous explorer,Cinematic lighting setup,Dynamic action angle
air_purifier_001_hunyuandit.png,Modern home,Calm Scandinavian,Clean product spotlight,Straight-on product shot
Air_purifier_003_hunyuandit.png,Luxury apartment,Modern domestic,Clean product spotlight,In-context usage angle
Air_purifier_005_hunyuandit.png,Sleek kitchen,Elegant minimalist,Clean product spotlight,In-context usage angle
air_purifier_007_hunyuandit.png,Designer living space,Calm Scandinavian,Bright high-key lighting,Overhead flat lay
airline_001_hunyuandit.png,Luxury resort,Vibrant contemporary,Cinematic lighting setup,Wide angle perspective
airline_002_hunyuandit.png,Historic cityscape,Peaceful natural,Natural sunlight,Wide angle perspective
airline_003_hunyuandit.png,Luxury resort,Peaceful natural,Cinematic lighting setup,Dynamic action angle
airline_004_hunyuandit.png,Luxury resort,Adventurous explorer,Natural sunlight,Aerial overview
airline_005_hunyuandit.png,Mountain landscape,Peaceful natural,Natural sunlight,Immersive POV
Ajit Jalandhar_942_hunyuandit.png,Modern home office,Sleek minimalist,Clean studio setup,Hero product angle
amazon_001_hunyuandit.png,Client meeting space,Trusted expert,Professional diffused,Eye-level perspective
Amazon_Foods_001_hunyuandit.png,Urban cafe,Indulgent gourmet,Soft natural daylight,In-scene lifestyle view
Amway_401_hunyuandit.png,Peaceful retreat,Rejuvenating spa,Gentle ambient glow,Close-up detail shot
ao_smith_001_hunyuandit.png,Modern home,Calm Scandinavian,Diffused window light,In-context usage angle
Apple_laptops_and_computers_24_hunyuandit.png,Professional workspace,Bold futuristic,Cool blue hour ambiance,Close-up detail shot
Apple_laptops_and_computers_28_hunyuandit.png,Minimalist studio,Bold futuristic,High-tech LED accents,Floating display view
Apple_laptops_and_computers_412_hunyuandit.png,Modern home office,Bold futuristic,Crisp product lighting,Floating display view
Apple_laptops_and_computers_418_hunyuandit.png,Professional workspace,Clean editorial,High-tech LED accents,Close-up detail shot
Apple_laptops_and_computers_419_hunyuandit.png,Professional workspace,Bold futuristic,Cool blue hour ambiance,Floating display view
Apple_mobiles_21_hunyuandit.png,Tech showroom,Clean editorial,Cool blue hour ambiance,Hero product angle
Apple_mobiles_414_hunyuandit.png,Tech showroom,Clean editorial,Crisp product lighting,Three-quarter view
appliances_001_hunyuandit.png,Sleek kitchen,Elegant minimalist,Diffused window light,Overhead flat lay
